filename,dataset_type,portfolio,column_name,dtype,missing_count,missing_pct,unique_non_null
A-Daily.csv,daily,A,cct,float64,24,3.28,665
A_Interval.csv,interval,A,abandoned_calls,float64,107,2.62,21
A_Interval.csv,interval,A,call_volume,float64,89,2.18,296
A_Interval.csv,interval,A,day,float64,1,0.02,31
B-Daily.csv,daily,B,cct,float64,29,3.97,664
B_Interval.csv,interval,B,abandoned_calls,float64,109,2.54,53
B_Interval.csv,interval,B,call_volume,float64,108,2.52,516
C-Daily.csv,daily,C,cct,float64,14,1.92,664
C_Interval.csv,interval,C,call_volume,float64,78,1.79,1041
C_Interval.csv,interval,C,cct,float64,55,1.26,3677
C_Interval.csv,interval,C,abandoned_calls,float64,49,1.12,72
D-Daily.csv,daily,D,cct,float64,32,4.38,653
D_Interval.csv,interval,D,abandoned_calls,float64,79,1.81,59
D_Interval.csv,interval,D,call_volume,float64,73,1.68,596
Daily_Staffing.csv,staffing,ALL,c,float64,37,10.14,196
Daily_Staffing.csv,staffing,ALL,d,float64,36,9.86,114
Daily_Staffing.csv,staffing,ALL,b,float64,35,9.59,125
Daily_Staffing.csv,staffing,ALL,a,float64,27,7.4,71
