Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT
April,1.0,0:00,100.00%,5.0,0.0,0.00%,137.6
April,1.0,0:30,100.00%,5.0,0.0,0.00%,263.4
April,1.0,1:00,100.00%,4.0,0.0,0.00%,333.25
April,1.0,1:30,100.00%,3.0,0.0,0.00%,170
April,1.0,2:00,100.00%,1.0,0.0,0.00%,667
April,1.0,2:30,100.00%,4.0,0.0,0.00%,416.5
April,1.0,3:00,100.00%,1.0,0.0,0.00%,128
April,1.0,3:30,100.00%,4.0,0.0,0.00%,158
April,1.0,5:00,,,,0.00%,59
April,1.0,5:30,,,,0.00%,178
April,1.0,6:00,,,,0.00%,181.5
April,1.0,6:30,,,,50.00%,166
April,1.0,7:00,,,,14.29%,386.83
April,1.0,7:30,,,,0.00%,219.13
April,1.0,8:00,,,,0.00%,256.89
April,1.0,8:30,,,,0.00%,262.6
April,1.0,9:00,,,,0.00%,315.74
April,1.0,9:30,91.28%,173.0,1.0,0.58%,316.33
April,1.0,10:00,99.49%,197.0,0.0,0.00%,288.58
April,1.0,10:30,98.64%,221.0,0.0,0.00%,330.24
April,1.0,11:00,100.00%,267.0,0.0,0.00%,280.94
April,1.0,11:30,98.17%,273.0,0.0,0.00%,322.6
April,1.0,12:00,97.54%,245.0,1.0,0.41%,335.5
April,1.0,12:30,95.72%,258.0,1.0,0.39%,284.15
April,1.0,13:00,100.00%,239.0,0.0,0.00%,321.13
April,1.0,13:30,99.58%,238.0,0.0,0.00%,328.56
April,1.0,14:00,99.63%,273.0,0.0,0.00%,307.4
April,1.0,14:30,99.27%,274.0,0.0,0.00%,307.11
April,1.0,15:00,97.25%,255.0,0.0,0.00%,301.51
April,1.0,15:30,94.12%,259.0,4.0,1.54%,323.3
April,1.0,16:00,98.83%,259.0,2.0,0.77%,326.37
April,1.0,16:30,98.94%,284.0,0.0,0.00%,330.98
April,1.0,17:00,98.43%,254.0,0.0,0.00%,332.5
April,1.0,17:30,99.48%,191.0,0.0,0.00%,322.13
April,1.0,18:00,99.39%,163.0,0.0,0.00%,326.13
April,1.0,18:30,75.45%,171.0,4.0,2.34%,336.36
April,1.0,19:00,92.59%,108.0,0.0,0.00%,347.57
April,1.0,19:30,96.00%,75.0,0.0,0.00%,324.07
April,1.0,20:00,96.36%,56.0,1.0,1.79%,350.62
April,1.0,20:30,75.41%,66.0,5.0,7.58%,350.28
April,1.0,21:00,69.57%,48.0,2.0,4.17%,387.59
April,1.0,21:30,100.00%,26.0,0.0,0.00%,291.92
April,1.0,22:00,100.00%,27.0,0.0,0.00%,269.37
April,1.0,22:30,63.64%,13.0,2.0,15.38%,192.36
April,1.0,23:00,84.62%,14.0,1.0,7.14%,334.46
April,1.0,23:30,100.00%,13.0,0.0,0.00%,260.31
April,2.0,0:00,100.00%,5.0,0.0,0.00%,327.6
April,2.0,0:30,100.00%,7.0,0.0,0.00%,242.29
April,2.0,1:00,100.00%,2.0,0.0,0.00%,355.5
April,2.0,1:30,100.00%,6.0,0.0,0.00%,258
April,2.0,2:00,100.00%,3.0,0.0,0.00%,273.67
April,2.0,2:30,100.00%,1.0,0.0,0.00%,200
April,2.0,3:00,100.00%,3.0,0.0,0.00%,309.33
April,2.0,4:00,100.00%,1.0,0.0,0.00%,269
April,2.0,5:00,100.00%,1.0,0.0,0.00%,196
April,2.0,5:30,100.00%,2.0,0.0,0.00%,469.5
April,2.0,6:00,100.00%,1.0,0.0,0.00%,"1,085.00"
April,2.0,6:30,100.00%,1.0,0.0,0.00%,155
April,2.0,7:00,100.00%,8.0,0.0,0.00%,145.88
April,2.0,7:30,83.33%,12.0,0.0,0.00%,321.42
April,2.0,8:00,97.62%,42.0,0.0,0.00%,268.95
April,2.0,8:30,64.20%,84.0,3.0,3.57%,249.33
April,2.0,9:00,72.81%,118.0,4.0,3.39%,312.5
April,2.0,9:30,69.80%,150.0,1.0,0.67%,322.62
April,2.0,10:00,98.25%,171.0,0.0,0.00%,282.39
April,2.0,10:30,95.83%,192.0,0.0,0.00%,307.71
April,2.0,11:00,91.95%,240.0,4.0,1.67%,329.61
April,2.0,11:30,83.33%,235.0,1.0,0.43%,345.16
April,2.0,12:00,98.74%,240.0,1.0,0.42%,344.82
April,2.0,12:30,84.23%,246.0,5.0,2.03%,332.64
April,2.0,13:00,88.80%,241.0,0.0,0.00%,322.92
April,2.0,13:30,96.34%,273.0,0.0,0.00%,304
April,2.0,14:00,99.64%,275.0,0.0,0.00%,339.43
April,2.0,14:30,99.60%,253.0,0.0,0.00%,292.37
April,2.0,15:00,95.15%,268.0,0.0,0.00%,351.72
April,2.0,15:30,96.09%,263.0,7.0,2.66%,320.33
April,2.0,16:00,79.42%,244.0,1.0,0.41%,357.62
April,2.0,16:30,99.59%,244.0,1.0,0.41%,321.67
April,2.0,17:00,99.53%,211.0,0.0,0.00%,328.45
April,2.0,17:30,100.00%,175.0,0.0,0.00%,356.8
April,2.0,18:00,98.74%,159.0,0.0,0.00%,304.06
April,2.0,18:30,100.00%,157.0,0.0,0.00%,353.96
April,2.0,19:00,100.00%,81.0,0.0,0.00%,355.14
April,2.0,19:30,100.00%,73.0,0.0,0.00%,319.52
April,2.0,20:00,100.00%,62.0,0.0,0.00%,326.77
April,2.0,20:30,97.83%,46.0,0.0,0.00%,282.54
April,2.0,21:00,100.00%,39.0,0.0,0.00%,239.31
April,2.0,21:30,100.00%,24.0,0.0,0.00%,320.29
April,2.0,22:00,100.00%,20.0,0.0,0.00%,297.5
April,2.0,22:30,43.75%,16.0,0.0,0.00%,258.94
April,2.0,23:00,80.00%,15.0,0.0,0.00%,342.67
April,2.0,23:30,100.00%,10.0,0.0,0.00%,257.9
April,3.0,0:00,100.00%,8.0,0.0,0.00%,291.75
April,3.0,0:30,100.00%,4.0,0.0,0.00%,230.75
April,3.0,1:00,100.00%,1.0,0.0,0.00%,89
April,3.0,1:30,100.00%,1.0,0.0,0.00%,258
April,3.0,2:00,100.00%,1.0,0.0,0.00%,113
April,3.0,4:00,100.00%,2.0,0.0,0.00%,203.5
April,3.0,4:30,100.00%,1.0,0.0,0.00%,76
April,3.0,5:00,100.00%,1.0,0.0,0.00%,196
April,3.0,5:30,100.00%,1.0,0.0,0.00%,281
April,3.0,6:00,100.00%,3.0,0.0,0.00%,284
April,3.0,6:30,50.00%,3.0,1.0,33.33%,323.5
April,3.0,7:00,81.82%,13.0,2.0,15.38%,327.18
April,3.0,7:30,83.33%,6.0,0.0,0.00%,459.5
April,3.0,8:00,92.86%,43.0,1.0,2.33%,274.83
April,3.0,8:30,100.00%,96.0,0.0,0.00%,310.55
April,3.0,9:00,99.08%,109.0,0.0,0.00%,291
April,3.0,9:30,98.66%,149.0,0.0,0.00%,311.04
April,3.0,10:00,98.44%,192.0,0.0,0.00%,292.23
April,3.0,10:30,100.00%,223.0,0.0,0.00%,288.19
April,3.0,11:00,94.86%,257.0,4.0,1.56%,293.48
April,3.0,11:30,97.87%,235.0,0.0,0.00%,288.07
April,3.0,12:00,96.17%,261.0,0.0,0.00%,295.89
April,3.0,12:30,96.20%,237.0,0.0,0.00%,303.3
April,3.0,13:00,95.93%,246.0,,,
April,3.0,13:30,98.25%,230.0,,,
April,3.0,14:00,98.05%,256.0,,,
April,3.0,14:30,97.16%,283.0,,,
April,3.0,15:00,91.14%,272.0,,,
April,3.0,15:30,98.35%,242.0,,,
April,3.0,16:00,98.85%,261.0,,,
April,3.0,16:30,100.00%,223.0,,,
April,3.0,17:00,98.57%,210.0,,,
April,3.0,17:30,98.91%,183.0,,,
April,3.0,18:00,100.00%,139.0,,,
April,3.0,18:30,98.11%,159.0,0.0,0.00%,288.44
April,3.0,19:00,97.87%,95.0,1.0,1.05%,380.83
April,3.0,19:30,100.00%,78.0,0.0,0.00%,380.12
April,3.0,20:00,96.15%,52.0,0.0,0.00%,327.65
April,3.0,20:30,88.89%,47.0,2.0,4.26%,342.8
April,3.0,21:00,93.94%,36.0,3.0,8.33%,270.27
April,3.0,21:30,100.00%,22.0,0.0,0.00%,285.95
April,3.0,22:00,92.31%,27.0,1.0,3.70%,350.27
April,3.0,22:30,50.00%,13.0,1.0,7.69%,320.42
April,3.0,23:00,50.00%,14.0,0.0,0.00%,275
April,3.0,23:30,77.78%,9.0,0.0,0.00%,247.67
April,4.0,0:00,80.00%,5.0,0.0,0.00%,228.8
April,4.0,0:30,100.00%,6.0,0.0,0.00%,337
April,4.0,1:00,100.00%,9.0,0.0,0.00%,202.89
April,4.0,1:30,100.00%,4.0,0.0,0.00%,256
April,4.0,3:30,,0.0,0.0,,
April,4.0,4:00,50.00%,2.0,0.0,0.00%,276.5
April,4.0,4:30,25.00%,4.0,0.0,0.00%,359.75
April,4.0,5:00,100.00%,1.0,0.0,0.00%,208
April,4.0,5:30,100.00%,2.0,0.0,0.00%,113.5
April,4.0,6:00,100.00%,2.0,0.0,0.00%,236
April,4.0,6:30,25.00%,7.0,3.0,42.86%,333.75
April,4.0,7:00,75.00%,8.0,0.0,0.00%,288.5
April,4.0,7:30,94.44%,18.0,0.0,0.00%,276.06
April,4.0,8:00,93.33%,45.0,0.0,0.00%,273.38
April,4.0,8:30,100.00%,86.0,0.0,0.00%,271.07
April,4.0,9:00,99.18%,122.0,0.0,0.00%,325.59
April,4.0,9:30,98.85%,174.0,0.0,0.00%,283.62
April,4.0,10:00,98.80%,166.0,0.0,0.00%,298.48
April,4.0,10:30,99.53%,212.0,1.0,0.47%,330.84
April,4.0,11:00,99.55%,221.0,0.0,0.00%,310.86
April,4.0,11:30,99.57%,232.0,1.0,0.43%,317.39
April,4.0,12:00,100.00%,232.0,0.0,0.00%,310.03
April,4.0,12:30,96.52%,230.0,0.0,0.00%,327.65
April,4.0,13:00,93.80%,260.0,2.0,0.77%,320.2
April,4.0,13:30,92.61%,257.0,0.0,0.00%,310.3
April,4.0,14:00,100.00%,234.0,0.0,0.00%,291.21
April,4.0,14:30,88.73%,276.0,1.0,0.36%,294.69
April,4.0,15:00,76.19%,256.0,4.0,1.56%,315.11
April,4.0,15:30,90.64%,269.0,2.0,0.74%,327.46
April,4.0,16:00,98.13%,268.0,0.0,0.00%,308.75
April,4.0,16:30,100.00%,234.0,0.0,0.00%,327.39
April,4.0,17:00,99.50%,199.0,0.0,0.00%,307.53
April,4.0,17:30,95.40%,174.0,0.0,0.00%,341.68
April,4.0,18:00,94.48%,163.0,0.0,0.00%,323.99
April,4.0,18:30,96.88%,129.0,1.0,0.78%,340.3
April,4.0,19:00,100.00%,62.0,0.0,0.00%,327.85
April,4.0,19:30,97.92%,48.0,0.0,0.00%,312.79
April,4.0,20:00,100.00%,49.0,0.0,0.00%,321.65
April,4.0,20:30,100.00%,35.0,0.0,0.00%,296.69
April,4.0,21:00,100.00%,31.0,0.0,0.00%,343.29
April,4.0,21:30,100.00%,20.0,0.0,0.00%,285.1
April,4.0,22:00,100.00%,28.0,0.0,0.00%,303.64
April,4.0,22:30,58.33%,12.0,0.0,0.00%,187.5
April,4.0,23:00,66.67%,10.0,1.0,10.00%,209.56
April,4.0,23:30,85.71%,8.0,1.0,12.50%,336.29
April,5.0,0:00,75.00%,5.0,1.0,20.00%,430.5
April,5.0,0:30,100.00%,7.0,0.0,0.00%,378
April,5.0,1:00,100.00%,3.0,0.0,0.00%,716.67
April,5.0,1:30,50.00%,3.0,1.0,33.33%,676.5
April,5.0,2:00,,1.0,1.0,100.00%,
April,5.0,2:30,100.00%,1.0,0.0,0.00%,"1,681.00"
April,5.0,3:00,100.00%,3.0,0.0,0.00%,167
April,5.0,3:30,100.00%,1.0,0.0,0.00%,"1,013.00"
April,5.0,4:00,100.00%,2.0,0.0,0.00%,269
April,5.0,5:30,100.00%,2.0,0.0,0.00%,113
April,5.0,6:00,100.00%,1.0,0.0,0.00%,129
April,5.0,6:30,100.00%,3.0,0.0,0.00%,334
April,5.0,7:00,100.00%,4.0,0.0,0.00%,250
April,5.0,7:30,83.33%,7.0,1.0,14.29%,202.33
April,5.0,8:00,89.66%,29.0,0.0,0.00%,246.69
April,5.0,8:30,100.00%,48.0,0.0,0.00%,261.96
April,5.0,9:00,96.20%,79.0,0.0,0.00%,293.37
April,5.0,9:30,95.19%,104.0,0.0,0.00%,293.68
April,5.0,10:00,91.89%,111.0,0.0,0.00%,254.3
April,5.0,10:30,88.16%,154.0,2.0,1.30%,278.04
April,5.0,11:00,93.60%,172.0,0.0,0.00%,294.19
April,5.0,11:30,97.55%,163.0,0.0,0.00%,272.81
April,5.0,12:00,77.22%,182.0,2.0,1.10%,306.28
April,5.0,12:30,82.83%,202.0,4.0,1.98%,281.16
April,5.0,13:00,89.89%,188.0,0.0,0.00%,294.5
April,5.0,13:30,96.91%,162.0,0.0,0.00%,295.97
April,5.0,14:00,98.27%,173.0,0.0,0.00%,278.04
April,5.0,14:30,90.40%,178.0,1.0,0.56%,311.85
April,5.0,15:00,99.38%,163.0,1.0,0.61%,301.06
April,5.0,15:30,95.03%,161.0,0.0,0.00%,318.52
April,5.0,16:00,100.00%,172.0,0.0,0.00%,251.78
April,5.0,16:30,100.00%,154.0,0.0,0.00%,280.45
April,5.0,17:00,95.97%,125.0,1.0,0.80%,340.96
April,5.0,17:30,85.50%,131.0,0.0,0.00%,277.89
April,5.0,18:00,75.81%,127.0,3.0,2.36%,316.95
April,5.0,18:30,100.00%,79.0,0.0,0.00%,334.23
April,5.0,19:00,100.00%,70.0,0.0,0.00%,257.41
April,5.0,19:30,100.00%,41.0,0.0,0.00%,302.68
April,5.0,20:00,100.00%,45.0,1.0,2.22%,293.8
April,5.0,20:30,96.15%,26.0,0.0,0.00%,232.85
April,5.0,21:00,100.00%,20.0,2.0,10.00%,223.17
April,5.0,21:30,87.50%,24.0,0.0,0.00%,358.96
April,5.0,22:00,100.00%,15.0,0.0,0.00%,385.07
April,5.0,22:30,37.50%,9.0,1.0,11.11%,284.38
April,5.0,23:00,30.00%,13.0,3.0,23.08%,355.9
April,5.0,23:30,100.00%,2.0,0.0,0.00%,268
April,6.0,0:00,50.00%,2.0,0.0,0.00%,762
April,6.0,0:30,0.00%,3.0,2.0,66.67%,366
April,6.0,1:30,100.00%,1.0,0.0,0.00%,371
April,6.0,2:00,100.00%,1.0,0.0,0.00%,21
April,6.0,2:30,,0.0,0.0,,
April,6.0,3:00,100.00%,2.0,0.0,0.00%,308
April,6.0,5:30,,0.0,0.0,,
April,6.0,6:00,100.00%,1.0,0.0,0.00%,222
April,6.0,6:30,100.00%,1.0,0.0,0.00%,106
April,6.0,7:00,100.00%,5.0,0.0,0.00%,493.8
April,6.0,7:30,100.00%,1.0,0.0,0.00%,278
April,6.0,8:00,100.00%,3.0,0.0,0.00%,260.33
April,6.0,8:30,100.00%,9.0,0.0,0.00%,207.11
April,6.0,9:00,100.00%,25.0,0.0,0.00%,221.4
April,6.0,9:30,100.00%,21.0,0.0,0.00%,314.57
April,6.0,10:00,100.00%,21.0,0.0,0.00%,261.71
April,6.0,10:30,100.00%,39.0,0.0,0.00%,258
April,6.0,11:00,97.30%,37.0,0.0,0.00%,266.73
