Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT
April,1,0:00,100.00%,22,0,0.00%,480.05
April,1,0:30,95.24%,21,0,0.00%,301.71
April,1,1:00,100.00%,8,0,0.00%,501.88
April,1,1:30,100.00%,4,0,0.00%,468.75
April,1,2:00,100.00%,4,0,0.00%,285.5
April,1,2:30,100.00%,3,0,0.00%,243.33
April,1,3:00,100.00%,3,0,0.00%,313.67
April,1,3:30,100.00%,1,0,0.00%,284
April,1,4:00,100.00%,1,0,0.00%,60
April,1,4:30,100.00%,2,0,0.00%,378.5
April,1,5:00,100.00%,1,0,0.00%,134
April,1,5:30,100.00%,5,0,0.00%,203.8
April,1,6:00,100.00%,3,0,0.00%,232.33
April,1,6:30,100.00%,5,2,40.00%,149
April,1,7:00,89.47%,19,0,0.00%,338.84
April,1,7:30,96.77%,31,0,0.00%,347.55
April,1,8:00,100.00%,64,0,0.00%,247.95
April,1,8:30,100.00%,111,3,2.70%,309.07
April,1,9:00,100.00%,144,0,0.00%,306.46
April,1,9:30,99.60%,253,0,0.00%,297.44
April,1,10:00,98.53%,275,2,0.73%,295.53
April,1,10:30,91.06%,304,2,0.66%,328.72
April,1,11:00,92.46%,347,2,0.58%,334.68
April,1,11:30,88.52%,400,8,2.00%,307.29
April,1,12:00,91.69%,424,3,0.71%,345.98
April,1,12:30,97.89%,382,2,0.52%,351.69
April,1,13:00,96.36%,467,0,0.00%,348.8
April,1,13:30,86.08%,434,3,0.69%,348.35
April,1,14:00,98.65%,447,3,0.67%,319.33
April,1,14:30,65.72%,508,15,2.95%,343.38
April,1,15:00,98.75%,481,1,0.21%,319.81
April,1,15:30,99.57%,462,0,0.00%,351.58
April,1,16:00,97.36%,416,0,0.00%,369.78
April,1,16:30,98.79%,412,0,0.00%,329.54
April,1,17:00,82.95%,440,6,1.36%,332.2
April,1,17:30,98.49%,400,2,0.50%,350.52
April,1,18:00,76.28%,393,1,0.25%,337.72
