Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT
April,1,0:00,100.00%,72,0,0.00%,283.29
April,1,0:30,100.00%,56,0,0.00%,293.89
April,1,1:00,100.00%,31,0,0.00%,323.45
April,1,1:30,100.00%,34,0,0.00%,247.38
April,1,2:00,100.00%,16,0,0.00%,282.69
April,1,2:30,92.86%,14,0,0.00%,293.57
April,1,3:00,100.00%,11,0,0.00%,198.64
April,1,3:30,100.00%,13,0,0.00%,272.77
April,1,4:00,100.00%,8,0,0.00%,467.38
April,1,4:30,100.00%,12,0,0.00%,122.75
April,1,5:00,100.00%,17,0,0.00%,283.53
April,1,5:30,100.00%,20,0,0.00%,275.85
April,1,6:00,100.00%,34,0,0.00%,301.59
April,1,6:30,100.00%,34,0,0.00%,224.47
April,1,7:00,98.78%,82,0,0.00%,246.26
April,1,7:30,96.09%,128,0,0.00%,280.62
April,1,8:00,99.10%,223,0,0.00%,287.82
April,1,8:30,99.41%,338,0,0.00%,307.67
April,1,9:00,96.48%,569,1,0.18%,301.98
April,1,9:30,99.45%,726,2,0.28%,310.58
April,1,10:00,99.14%,813,2,0.25%,322.72
April,1,10:30,96.93%,915,4,0.44%,325.08
April,1,11:00,96.15%,939,4,0.43%,350.13
April,1,11:30,95.38%,1017,0,0.00%,338.27
April,1,12:00,89.62%,1046,6,0.57%,338.82
April,1,12:30,95.03%,1070,3,0.28%,334.74
April,1,13:00,99.00%,1101,1,0.09%,346.13
April,1,13:30,77.64%,1065,14,1.31%,323.85
April,1,14:00,99.13%,1144,0,0.00%,338.26
April,1,14:30,93.27%,1151,7,0.61%,342.38
April,1,15:00,98.18%,1101,2,0.18%,335.53
April,1,15:30,99.43%,1054,2,0.19%,349.68
April,1,16:00,98.81%,1097,2,0.18%,358.12
April,1,16:30,99.25%,1069,1,0.09%,348.82
April,1,17:00,91.40%,1049,2,0.19%,342.7
April,1,17:30,96.30%,955,9,0.94%,355.31
April,1,18:00,92.53%,875,5,0.57%,353.11
April,1,18:30,98.65%,742,0,0.00%,360.64
April,1,19:00,84.54%,732,14,1.91%,335.24
April,1,19:30,96.61%,619,0,0.00%,337.65
April,1,20:00,98.66%,522,1,0.19%,351.62
April,1,20:30,99.54%,438,1,0.23%,325.31
April,1,21:00,100.00%,396,1,0.25%,313.25
April,1,21:30,99.69%,325,0,0.00%,360.79
April,1,22:00,72.83%,277,12,4.33%,333.05
April,1,22:30,76.19%,212,2,0.94%,338.09
April,1,23:00,100.00%,153,0,0.00%,357.27
April,1,23:30,100.00%,109,0,0.00%,314.5
April,2,0:00,100.00%,81,0,0.00%,298.96
April,2,0:30,100.00%,67,0,0.00%,291.91
April,2,1:00,100.00%,50,0,0.00%,304.42
April,2,1:30,100.00%,31,0,0.00%,398.48
April,2,2:00,80.00%,17,2,11.76%,269.07
April,2,2:30,94.12%,17,0,0.00%,384.65
April,2,3:00,100.00%,11,1,9.09%,158.4
April,2,3:30,100.00%,11,0,0.00%,500.64
April,2,4:00,100.00%,14,0,0.00%,338.5
April,2,4:30,100.00%,13,0,0.00%,316
April,2,5:00,100.00%,13,0,0.00%,291.38
April,2,5:30,100.00%,27,0,0.00%,252.81
April,2,6:00,100.00%,24,0,0.00%,337.29
April,2,6:30,100.00%,44,0,0.00%,263.02
April,2,7:00,100.00%,64,0,0.00%,292.98
April,2,7:30,86.15%,131,1,0.76%,265.77
April,2,8:00,99.56%,226,0,0.00%,288.84
April,2,8:30,97.53%,367,2,0.54%,284.42
April,2,9:00,98.48%,527,1,0.19%,327.67
April,2,9:30,92.73%,622,3,0.48%,302.43
April,2,10:00,99.02%,711,0,0.00%,325.18
April,2,10:30,89.90%,863,2,0.23%,334.19
April,2,11:00,99.77%,880,1,0.11%,314.32
April,2,11:30,99.03%,931,0,0.00%,341.7
April,2,12:00,99.50%,1000,1,0.10%,343.43
April,2,12:30,87.03%,1016,14,1.38%,347.97
April,2,13:00,97.42%,1087,1,0.09%,340.35
April,2,13:30,93.73%,1060,8,0.75%,339.39
April,2,14:00,97.78%,1039,2,0.19%,340.94
April,2,14:30,99.90%,998,1,0.10%,340.29
April,2,15:00,99.90%,983,2,0.20%,349.96
April,2,15:30,99.68%,938,2,0.21%,356.18
April,2,16:00,99.90%,975,1,0.10%,346.35
April,2,16:30,99.89%,940,0,0.00%,346.13
April,2,17:00,99.89%,897,3,0.33%,331.62
April,2,17:30,99.63%,819,0,0.00%,336.6
April,2,18:00,98.90%,727,1,0.14%,359.08
April,2,18:30,99.55%,670,1,0.15%,365.72
April,2,19:00,99.51%,614,0,0.00%,346.79
April,2,19:30,98.43%,510,0,0.00%,344.07
April,2,20:00,99.29%,425,1,0.24%,342.44
April,2,20:30,99.47%,382,2,0.52%,345.96
April,2,21:00,99.42%,343,0,0.00%,346.53
April,2,21:30,99.66%,298,0,0.00%,332.28
April,2,22:00,100.00%,204,3,1.47%,335.82
April,2,22:30,100.00%,172,4,2.33%,302.27
April,2,23:00,99.17%,124,4,3.23%,313.58
April,2,23:30,100.00%,96,4,4.17%,302.68
April,3,0:00,100.00%,65,0,0.00%,321.58
April,3,0:30,100.00%,56,1,1.79%,404.98
April,3,1:00,100.00%,54,0,0.00%,294.35
April,3,1:30,100.00%,19,0,0.00%,376.68
April,3,2:00,100.00%,21,0,0.00%,205.9
April,3,2:30,100.00%,30,0,0.00%,170.07
April,3,3:00,100.00%,10,0,0.00%,258.9
April,3,3:30,100.00%,8,0,0.00%,433
April,3,4:00,94.12%,17,0,0.00%,237.24
April,3,4:30,100.00%,10,0,0.00%,268.5
April,3,5:00,100.00%,21,0,0.00%,234.1
April,3,5:30,100.00%,21,1,4.76%,247.15
April,3,6:00,100.00%,36,0,0.00%,263.19
April,3,6:30,97.78%,46,1,2.17%,299.82
