Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT
April,1,0:00,100.00%,30,0,0.00%,306
April,1,0:30,100.00%,29,0,0.00%,353.14
April,1,1:00,100.00%,25,0,0.00%,373.76
April,1,1:30,100.00%,9,0,0.00%,364.44
April,1,2:00,100.00%,4,0,0.00%,276.25
April,1,2:30,100.00%,9,0,0.00%,300.78
April,1,3:00,100.00%,3,0,0.00%,218.33
April,1,3:30,,0,0,,
April,1,4:00,,0,0,,
April,1,4:30,,0,0,,
April,1,5:00,100.00%,1,0,0.00%,172
April,1,5:30,,0,0,,
April,1,6:00,92.86%,14,0,0.00%,267.07
April,1,6:30,100.00%,28,0,0.00%,307.25
April,1,7:00,96.55%,30,1,3.33%,244.93
April,1,7:30,100.00%,64,0,0.00%,248.38
April,1,8:00,100.00%,104,1,0.96%,276.15
April,1,8:30,97.13%,175,1,0.57%,242.67
April,1,9:00,97.34%,263,0,0.00%,281.82
April,1,9:30,90.24%,331,3,0.91%,279.69
April,1,10:00,99.16%,358,2,0.56%,292.06
April,1,10:30,91.25%,460,3,0.65%,313.13
April,1,11:00,86.45%,441,13,2.95%,324.51
April,1,11:30,81.78%,542,4,0.74%,314.64
April,1,12:00,99.63%,540,3,0.56%,323.31
April,1,12:30,97.74%,538,6,1.12%,326.03
April,1,13:00,88.67%,569,4,0.70%,316.46
April,1,13:30,83.27%,512,10,1.95%,320.57
April,1,14:00,96.91%,555,4,0.72%,320.33
April,1,14:30,98.55%,552,2,0.36%,317.62
April,1,15:00,99.08%,548,2,0.36%,315.15
April,1,15:30,98.40%,503,2,0.40%,297.38
April,1,16:00,96.18%,577,1,0.17%,301.41
April,1,16:30,99.07%,545,6,1.10%,314.94
April,1,17:00,98.53%,478,2,0.42%,341.33
April,1,17:30,99.78%,465,0,0.00%,313.75
April,1,18:00,97.69%,434,1,0.23%,313.12
April,1,18:30,98.72%,391,1,0.26%,325.36
April,1,19:00,95.87%,341,2,0.59%,323.32
April,1,19:30,96.88%,324,3,0.93%,319.76
April,1,20:00,95.79%,263,2,0.76%,321.76
April,1,20:30,92.80%,252,2,0.79%,315.81
April,1,21:00,100.00%,196,0,0.00%,279.84
April,1,21:30,100.00%,156,1,0.64%,306.11
April,1,22:00,100.00%,110,0,0.00%,327.23
April,1,22:30,94.23%,105,1,0.95%,298.99
April,1,23:00,98.57%,70,0,0.00%,328.16
April,1,23:30,100.00%,46,0,0.00%,290.85
April,2,0:00,100.00%,44,0,0.00%,294.68
April,2,0:30,100.00%,36,0,0.00%,452.25
April,2,1:00,100.00%,26,0,0.00%,505.65
April,2,1:30,100.00%,18,1,5.56%,305.71
April,2,2:00,100.00%,7,0,0.00%,313.14
April,2,2:30,100.00%,10,1,10.00%,363.11
April,2,3:00,100.00%,1,0,0.00%,180
April,2,3:30,,0,0,,
April,2,4:00,100.00%,1,0,0.00%,364
April,2,4:30,,0,0,,
April,2,5:00,,0,0,,
April,2,5:30,,0,0,,
April,2,6:00,100.00%,12,0,0.00%,219.75
April,2,6:30,100.00%,17,0,0.00%,276.76
April,2,7:00,100.00%,37,0,0.00%,225.97
April,2,7:30,83.08%,66,1,1.52%,256.28
April,2,8:00,93.44%,124,2,1.61%,296.09
April,2,8:30,98.97%,194,0,0.00%,294.23
April,2,9:00,99.26%,272,1,0.37%,277.9
April,2,9:30,93.20%,309,0,0.00%,281.37
April,2,10:00,98.69%,382,0,0.00%,293.63
April,2,10:30,85.46%,396,4,1.01%,298.32
April,2,11:00,98.93%,466,0,0.00%,322.6
April,2,11:30,99.34%,453,0,0.00%,309.21
April,2,12:00,89.61%,497,6,1.21%,315.13
April,2,12:30,93.94%,462,0,0.00%,306.85
April,2,13:00,98.48%,531,3,0.56%,329.52
April,2,13:30,99.58%,477,1,0.21%,305.36
April,2,14:00,98.20%,499,0,0.00%,306.94
April,2,14:30,99.62%,521,1,0.19%,312.21
April,2,15:00,99.81%,536,1,0.19%,326.56
April,2,15:30,99.48%,573,1,0.17%,338.87
April,2,16:00,99.81%,533,1,0.19%,308.02
April,2,16:30,100.00%,474,2,0.42%,327.69
April,2,17:00,83.99%,540,9,1.67%,313.49
April,2,17:30,93.21%,503,2,0.40%,333.23
