,A,B,C,D
1/1/25,47,75,353,143
1/2/25,82,184,491,195
1/3/25,92,186,462,183
1/4/25,70,148,352,155
1/5/25,40,110,224,98
1/6/25,101,190,498,196
1/7/25,,,,188
1/8/25,,,,168
1/9/25,,,,177
1/10/25,92,166,409,179
1/11/25,73,143,307,129
1/12/25,45,108,216,117
1/13/25,98,189,468,201
1/14/25,86,171,451,184
1/15/25,75,166,415,175
1/16/25,76,169,396,176
1/17/25,87,165,397,172
1/18/25,70,127,274,
1/19/25,42,109,204,
1/20/25,98,186,448,
1/21/25,81,164,418,
1/22/25,74,172,379,
1/23/25,75,173,386,
1/24/25,84,165,391,
1/25/25,67,138,276,122
1/26/25,45,107,181,107
1/27/25,101,64,453,182
1/28/25,87,57,422,167
1/29/25,77,50,376,159
1/30/25,79,56,375,161
1/31/25,90,50,382,159
2/1/25,57,131,278,121
2/2/25,32,99,210,91
2/3/25,94,236,455,185
2/4/25,86,211,462,181
2/5/25,75,207,420,170
2/6/25,78,206,408,163
2/7/25,87,184,384,160
2/8/25,60,138,282,122
2/9/25,36,101,215,107
2/10/25,96,231,448,175
2/11/25,87,218,445,175
2/12/25,83,209,414,168
2/13/25,77,207,378,142
2/14/25,79,187,357,138
2/15/25,55,128,269,117
2/16/25,35,96,202,89
2/17/25,98,61,463,174
2/18/25,86,60,462,181
2/19/25,78,53,417,179
2/20/25,79,57,406,140
2/21/25,88,50,390,147
2/22/25,61,41,295,115
2/23/25,39,28,219,89
2/24/25,100,61,489,177
2/25/25,88,59,480,182
2/26/25,83,52,441,177
2/27/25,82,57,404,146
2/28/25,87,50,398,143
3/1/25,58,123,283,118
3/2/25,34,93,201,95
3/3/25,92,206,459,173
3/4/25,83,190,468,188
3/5/25,72,185,414,178
3/6/25,73,188,405,143
3/7/25,86,169,381,143
3/8/25,59,126,284,111
3/9/25,33,93,211,90
3/10/25,92,205,484,173
3/11/25,83,195,475,177
3/12/25,76,191,438,173
3/13/25,76,190,405,141
3/14/25,81,172,400,136
3/15/25,56,123,286,103
3/16/25,33,90,225,86
3/17/25,92,61,478,169
3/18/25,84,56,474,174
3/19/25,76,51,430,174
3/20/25,77,55,414,139
3/21/25,87,48,402,141
3/22/25,59,39,301,101
3/23/25,37,30,224,81
3/24/25,98,64,490,172
3/25/25,87,60,479,175
3/26/25,80,56,439,171
3/27/25,80,59,402,139
3/28/25,84,52,401,136
3/29/25,62,40,289,102
3/30/25,37,31,227,84
3/31/25,91,62,482,169
4/1/25,78,165,449,178
4/2/25,68,165,410,177
4/3/25,,,,
4/4/25,,,,
4/5/25,,,,
4/6/25,,,,
4/7/25,,,,
4/8/25,,,,
4/9/25,,,,
4/10/25,75,161,404,151
4/11/25,73,149,398,147
4/12/25,55,106,281,119
4/13/25,32,89,218,94
4/14/25,86,60,466,184
4/15/25,80,54,461,189
4/16/25,72,53,421,185
4/17/25,74,56,410,149
4/18/25,80,49,400,153
4/19/25,55,36,286,116
4/20/25,35,26,216,95
4/21/25,93,59,479,189
4/22/25,84,54,468,189
4/23/25,77,51,437,183
4/24/25,77,56,407,150
4/25/25,81,49,402,146
4/26/25,58,37,284,120
4/27/25,37,29,222,95
4/28/25,91,59,474,186
4/29/25,82,54,464,188
4/30/25,74,52,422,185
5/1/25,73,121,378,147
5/2/25,78,104,352,140
5/3/25,52,83,265,109
5/4/25,31,65,199,87
5/5/25,89,126,438,163
5/6/25,82,123,438,171
5/7/25,72,123,417,168
5/8/25,71,119,388,138
5/9/25,73,108,367,129
5/10/25,50,77,267,118
5/11/25,31,62,187,83
5/12/25,85,111,467,177
5/13/25,80,102,461,183
5/14/25,69,106,426,178
5/15/25,72,99,410,142
5/16/25,77,95,397,144
5/17/25,53,70,284,112
5/18/25,33,61,220,91
