Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7.42,0.0,0.0,393.03,43.46,0.0,0.0,331.83,93.28,0.0,0.0,356.48,49.82,0.0,0.0,326.92
August,1,0:30,5.300000000000001,0.0,0.0,346.74,31.8,0.0,0.0,308.78,64.66,1.0,0.016393,316.86,34.980000000000004,0.0,0.0,299.26
August,1,1:00,4.24,0.0,0.0,323.62,13.780000000000001,0.0,0.0,433.65,45.580000000000005,3.0,0.069767,327.43,25.44,1.0,0.041667,363.78
August,1,1:30,4.24,0.0,0.0,295.13,8.48,0.0,0.0,251.86,33.92,1.0,0.03125,311.79,19.080000000000002,1.0,0.055556,292.85
August,1,2:00,2.12,0.0,0.0,236.27,7.42,0.0,0.0,367.44,22.26,1.0,0.047619,312.8,12.72,1.0,0.083333,336.69
August,1,2:30,1.06,0.0,0.0,343.78,5.300000000000001,0.0,0.0,377.84,23.32,2.0,0.090909,328.94,10.600000000000001,0.0,0.0,304.9
August,1,3:00,2.12,0.0,0.0,205.25,5.300000000000001,0.0,0.0,363.29,13.780000000000001,1.0,0.076923,388.45,3.18,0.0,0.0,411.7
August,1,3:30,2.12,0.0,0.0,183.81,4.24,0.0,0.0,375.34,16.96,0.0,0.0,377.6,1.06,0.0,0.0,168.4
August,1,4:00,1.06,0.0,0.0,282.8,4.24,0.0,0.0,330.36,15.9,1.0,0.066667,301.71,1.06,0.0,0.0,321.6
August,1,4:30,2.12,0.0,0.0,229.34,4.24,0.0,0.0,236.67,15.9,0.0,0.0,348.31,1.06,0.0,0.0,433.86
August,1,5:00,2.12,0.0,0.0,265.56,4.24,0.0,0.0,253.86,22.26,1.0,0.047619,303.04,1.06,0.0,0.0,332.01
August,1,5:30,2.12,0.0,0.0,237.14,5.300000000000001,0.0,0.0,313.2,21.200000000000003,1.0,0.05,324.88,1.06,0.0,0.0,270.5
August,1,6:00,3.18,0.0,0.0,240.77,7.42,1.0,0.142857,305.88,40.28,0.0,0.0,283.87,12.72,0.0,0.0,247.41
August,1,6:30,4.24,1.0,0.25,313.22,8.48,3.0,0.375,351.45,67.84,4.0,0.0625,265.22,28.62,4.0,0.148148,257.16
August,1,7:00,12.72,1.0,0.083333,307.12,43.46,1.0,0.02439,264.17,110.24000000000001,2.0,0.019231,270.09,51.940000000000005,1.0,0.020408,255.74
August,1,7:30,19.080000000000002,1.0,0.055556,330.29,60.42,1.0,0.017544,295.64,185.5,6.0,0.034286,266.28,81.62,2.0,0.025974,279.32
August,1,8:00,55.120000000000005,0.0,0.0,281.11,128.26000000000002,0.0,0.0,295.18,330.72,5.0,0.016026,283.67,154.76000000000002,2.0,0.013699,269.27
