Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,391.64,41,0,0.0,330.5,88,0,0.0,355.12,47,0,0.0,325.59
August,1,0:30,5,0,0.0,345.39,30,0,0.0,307.47,61,1,0.016393,315.54,33,0,0.0,297.96
August,1,1:00,4,0,0.0,322.3,13,0,0.0,432.22,43,3,0.069767,326.1,24,1,0.041667,362.42
August,1,1:30,4,0,0.0,293.83,8,0,0.0,250.61,32,1,0.03125,310.48,18,1,0.055556,291.56
August,1,2:00,2,0,0.0,235.03,7,0,0.0,366.07,21,1,0.047619,311.49,12,1,0.083333,335.35
August,1,2:30,1,0,0.0,342.44,5,0,0.0,376.46,22,2,0.090909,327.61,10,0,0.0,303.6
August,1,3:00,2,0,0.0,204.04,5,0,0.0,361.93,13,1,0.076923,387.06,3,0,0.0,410.29
August,1,3:30,2,0,0.0,182.63,4,0,0.0,373.96,16,0,0.0,376.22,1,0,0.0,167.23
August,1,4:00,1,0,0.0,281.52,4,0,0.0,329.03,15,1,0.066667,300.41,1,0,0.0,320.28
August,1,4:30,2,0,0.0,228.11,4,0,0.0,235.43,15,0,0.0,346.96,1,0,0.0,432.43
August,1,5:00,2,0,0.0,264.29,4,0,0.0,252.61,21,1,0.047619,301.74,1,0,0.0,330.68
August,1,5:30,2,0,0.0,235.9,5,0,0.0,311.89,20,1,0.05,323.56,1,0,0.0,269.23
August,1,6:00,3,0,0.0,239.53,7,1,0.142857,304.57,38,0,0.0,282.59,12,0,0.0,246.16
August,1,6:30,4,1,0.25,311.91,8,3,0.375,350.1,64,4,0.0625,263.95,27,4,0.148148,255.89999999999998
